,ncomments,nlikes,labels,caption,engagement
0,0.020126471,0.25682237,"['marine mammal', 'fauna', 'water', 'mammal', 'marine biology', 'underwater', 'manatee', 'organism', 'wildlife', 'dugong']","Photo By @BrianSkerry
A West Indian Manatee calf nurses from its mom as they settle down on the sandy sea floor in the waters off the coast of Belize, an important country for these endangered animals. Manatees here live in mangroves and often sleep there overnight and feed on nearby sea grass beds during the day. Unlike Florida manatees, these animals are not nearly as acclimated to humans and are shyer. On this morning however, this very relaxed mom and calf allowed me into their world.
For more images and stories about ocean wildlife follow @BrianSkerry
#manatees  #belize  #mesoamericanreef  #endangeredspecies",1
1,0.0302709,0.30204215,"['arctic ocean', 'arctic', 'ice', 'polar ice cap', 'ice cap', 'freezing', 'sea', 'ocean', 'sea ice', 'sky']","Photo by @BrianSkerry | A newborn Harp Seal pup sleeps on the ice while its mom watches from the water behind. Historically these animals have thrived in this region, where come for a few weeks each year to engage in courtship, mating and pupping. But declining sea ice due to climate change over the last decade has caused problems for this species for without stable ice, the pups cannot suckle from their moms and may fall into the icy sea before they are physically prepared. Survival for this species is uncertain if these trends continue. 
Follow @BrianSkerry to see more wildlife photos from the sea!
#climatechange  #seals  #harpseal  #canada  #conservation",1
2,0.006543252,0.222353149,"['highland', 'sky', 'mountain', 'wilderness', 'cloud', 'geological phenomenon', 'escarpment', 'national park', 'rock', 'ridge']","Photo by David Chancellor @chancellordavid | The Swartberg Mountain range, South Africa - The Swartberg Nature Reserve consists of 121,000 hectares of pristine ecosystem. This area was inhabited for centuries by the San people; rock paintings can be found in caves and shelters across the reserve. An area of climatic extremes, with very cold winters; there is often snow on the mountains and temperatures fall well below zero, with summers that can be uncomfortably hot, with temperatures reaching mid 40 degrees Celsius and higher.
This mountain range is part of the Cape Fold mountain system and the geological formations are chiefly of the Table Mountain group - The reserve’s vegetation is remarkably diverse, featuring renosterveld, mountain fynbos, Karoo-veld, spekboom-veld, and numerous geophytes species.  Most plants flower in spring and some of the low lying areas are transformed into a wonderland as the first rains occur and the dormant plants display their true colours in vast abundance.
Mammals present here include klipspringer, grey rhebuck, kudu, baboon and dassie (rock hyrax). Leopard and caracal (lynx). More than one hundred and thirty bird species have been recorded here, notably black eagle, fish eagle, martial eagle, cape sugarbird and giant kingfisher - love this mountain range, it truly looks like its made from folded layers of marzipan 💚 follow me @chancellordavid to see more work and projects from here and elsewhere #swartbergmountains  #southafrica  #conserving  #wildlife """,1
3,0.037549671,0.624071645,"['water', 'black and white', 'marine mammal', 'ocean', 'wave', 'sea', 'whales dolphins and porpoises', 'monochrome photography', 'monochrome', 'wind wave']","Photo by @CristinaMittermeier | To the casual beach goer, the ocean may often seem like a desert: vast expanses of blue water with little to catch your eye. If you spend enough time out there, however, every once in a while you get a surprise. Imagine how curious these four orcas were when they unanimously decided to spy-hop to take a better look at our small zodiac. Whales are sentient, intelligent animals that have emotions, grieve the loss of their pod members, and can hold sophisticated conversations with each other over vast distances. Their future is in our hands. Please visit @CristinaMittermeier to see why I need your voice, your influence and your energy to protect them from commercial whaling. #orcas  #whales  #stopthehunt  #blackandwhite  #ocean",1
4,0.00304715,0.09648195,"['sea', 'sail', 'water', 'sailing', 'ocean', 'sailboat', 'sailing ship', 'mast', 'sailing', 'sky']","Photo by @shonephoto (Robbie Shone) // Following a few days prepping the boat in Ólafsfjörður, northern Iceland, the expedition began in earnest. Led by Professor Gina Moseley (@Greenland_Caves) , our three person team joined the Schwörer family of eight plus a teacher onboard their floating home. Although the boat mostly ran on auto pilot, at least two people had to maintain a watch monitoring the wind speed/direction and looking out for other ships/icebergs. Gina and I were allocated the 2-4 and 8-10 (am & pm) watches. In the early hours of the morning in freezing cold temperatures, Gina is seen here on watch having finally settled in to sea travel after many hours of sea sickness.",0
5,0.008176677,0.241606123,"['canyon', 'rock', 'narrows', 'formation', 'geological phenomenon', 'geology', 'wadi', 'fault', 'sky', 'terrain']","Photo  by  @pedromcbride // Walking  through  the  hidden  slot  canyons  of  the  Grand  Canyon  is  a  window  through  rock  and  time.  These  narrow,  hydraulic  subway  systems  support  a  wider  range  of  biodiversity  than  any  park  in  the  United  States  thanks  to  the  park's  size  and  verticality.  To  see  more  images  from  this  iconic  place  and  the  river  that  carved  it,  follow  @pedromcbride.  #grandcanyon   #betweenriverandrimbook   #nature   #gratitude   #petemcbride",1
6,0.004585053,0.145668023,"['sea', 'sky', 'coast', 'cloud', 'water', 'coastal and oceanic landforms', 'bay', 'shore', 'loch', 'ocean']",Photo by Robbie Shone @shonephoto | We arrived in the colorful village of Ittoqqortoormiit in East Greenland late on the evening of the 3rd August and spent five days there as we waited for a good weather/sea ice opportunity to continue further north. During the ‘night’ of our second evening we were all woken up by a loud fog horn. It was from the supply tanker that comes in only twice a year. This was the first time it had arrived this year; the last time being at the end of September last year. The village came alive as for two days the residents were busy with the containers that were being ferried back and forth between the ship and land. @greenland_caves #EAGRE18,0
7,0.011032783,0.248763348,"['flower', 'plant', 'flora', 'wildflower', 'sky', 'spring', 'coast', 'landscape', 'water']","Photo by @ladzinski | A vibrant cluster of wildflowers known as #PinkNakedLadies , decorating the hill side on the coast of California highway 1 on a moody morning. Accessing these flowers wasn’t easy, I had to bushwhack down steep, loose terrain and through poison oak, not my favorite start to the day but worth it to snap this photo.",1
8,0.006161165,0.18763856,"['nature', 'sky', 'atmosphere', 'geological phenomenon', 'mountain range', 'mountain', 'snow', 'freezing', 'terrain', 'night']","Photo by @andy_bardon /// Illuminated tents light up the slopes of Camp 2 on Mount Everest. Sleep is hard to come by at this altitude. Headaches, shortness of breath, and dehydration are part of the deal. Located at aprx 21,000ft climbers typically stage here for a few nights before pushing higher up the mountain for their summit bids. Shot on assigment for @natgeo",0
9,0.617549289,1,"['orangutan', 'mammal', 'great ape', 'primate', 'terrestrial animal', 'wildlife', 'fauna', 'rainforest', 'jungle', 'organism']","Photo by @FransLanting | When a young orangutan stands upright in a forest clearing it becomes easy to appreciate the similarities with humans—and the differences. Long arms enable them swing through the trees and their potbellies help them digest all that plant food. There is not much protein in their diet, but they can deal with that. What orangutans can’t cope with is the dramatic loss of their habitat and the assault on their infants for the illegal pet trade. This young male is one of many orangutans who end up in rehab centers where dedicated people try to give them a new lease on life after their traumatic experiences with humans. I will leave it to you what you find more compelling; his body parts or the outlook on life for orangutans as a species. Follow me @FransLanting to see more orangutans and learn about their plight. And Follow @ChristineEckstrom to see more video encounters of the animal kind. @World_Wildlife @WildAid @leonardodicapriofdn #Borneo  #Orangutan  #Family  #Orphans  #Endangered  #Wildlife",1
